id,name,code,parent_id/id,type,user_type/id,reconcile
thai_rjc_12590,สินทรัพย์ไม่มีตัวตนอื่น,12590,thai_rjc_12500,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_12600,สินทรัพย์อื่น,12600,thai_rjc_12000,View,account.data_account_type_view,FALSE
thai_rjc_12610,เงินมัดจำ,12610,thai_rjc_12600,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_12620,เงินค้ำประกันระยะยาว,12620,thai_rjc_12600,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_12690,สินทรัพย์อื่น,12690,thai_rjc_12600,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_20000,หนี้สิน,20000,thai_rjc_1,View,account.data_account_type_view,FALSE
thai_rjc_21000,หนี้สินหมุนเวียน,21000,thai_rjc_20000,View,account.data_account_type_view,FALSE
thai_rjc_21100,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,21100,thai_rjc_21000,View,account.data_account_type_view,FALSE
thai_rjc_21101,เงินเบิกเกินบัญชี - ธนาคารไทยพาณิชย์,21101,thai_rjc_21100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_21102,เงินเบิกเกินบัญชี - ธนาคารกสิกรไทย,21102,thai_rjc_21100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_21103,เงินเบิกเกินบัญชี - ธนาคารกรุงศรีอยุธยา,21103,thai_rjc_21100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_21104,เงินเบิกเกินบัญชี -  ธนาคารกรุงเทพ,21104,thai_rjc_21100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_21105,เงินเบิกเกินบัญชี -  ธนาคารกรุงไทย,21105,thai_rjc_21100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_21106,เงินเบิกเกินบัญชี - ธนาคารนครหลวงไทย,21106,thai_rjc_21100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_21110,ตั๋วสัญญาใช้เงิน,21110,thai_rjc_21100,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21120,เงินกู้ธนาคารนครหลวงไทย,21120,thai_rjc_21100,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21130,เงินกู้ธนาคารไทยพาณิชย์,21130,thai_rjc_21100,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21200,เจ้าหนี้การค้าและเจ้าหนี้อื่น,21200,thai_rjc_21000,View,account.data_account_type_view,FALSE
thai_rjc_21210,เจ้าหนี้การค้าในประเทศ,21210,thai_rjc_21200,Payable,account.data_account_type_payable,TRUE
thai_rjc_21211,เจ้าหนี้การค้าต่างประเทศ,21211,thai_rjc_21200,Payable,account.data_account_type_payable,TRUE
thai_rjc_21220,เจ้าหนี้การค้า - บริการ,21220,thai_rjc_21200,Payable,account.data_account_type_payable,TRUE
thai_rjc_21230,ตั๋วเงินจ่าย,21230,thai_rjc_21200,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21240,เจ้าหนี้บริษัทที่เกี่ยวข้องกัน,21240,thai_rjc_21200,Payable,account.data_account_type_payable,TRUE
thai_rjc_21250,เจ้าหนี้อื่น,21250,thai_rjc_21200,Payable,account.data_account_type_payable,TRUE
thai_rjc_21299,เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,21299,thai_rjc_21200,Regular,account.data_account_type_payable,TRUE
thai_rjc_21300,ค่าใช้จ่ายค้างจ่าย,21300,thai_rjc_21000,View,account.data_account_type_view,FALSE
thai_rjc_21310,ภาษีเงินได้หัก ณ ที่จ่ายค้างจ่าย,21310,thai_rjc_21300,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21311,ภาษีเงินได้นิติบุคคลค้างจ่าย,21311,thai_rjc_21300,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21320,เงินสมทบประกันสังคมค้างจ่าบ,21320,thai_rjc_21300,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21330,ค่าใช้จ่ายค้างจ่าย,21330,thai_rjc_21300,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21340,ดอกเบี้ยค้างจ่าย,21340,thai_rjc_21300,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21400,หนี้สินหมุนเวียนอื่น,21400,thai_rjc_21000,View,account.data_account_type_view,FALSE
thai_rjc_21410,ภาษีขาย,21410,thai_rjc_21400,Regular,account.data_account_type_output_tax,FALSE
thai_rjc_21411,เจ้าหนี้กรมสรรพากร,21411,thai_rjc_21400,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21420,รายได้รับล่วงหน้า,21420,thai_rjc_21400,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21430,เงินมัดจำค่าสินค้า,21430,thai_rjc_21400,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21440,เงินสะสมพนักงานและแรงงานต่างด้าว,21440,thai_rjc_21400,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21480,Current Portion of Long Term Debt,21480,thai_rjc_21400,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_21490,หนี้สินหมุนเวียนอื่น,21490,thai_rjc_21400,Regular,account.data_account_type_current_liabilities,FALSE
thai_rjc_22000,หนี้สินไม่หมุนเวียน,22000,thai_rjc_20000,View,account.data_account_type_view,FALSE
thai_rjc_22100,เงินกู้ยืมระยะยาว,22100,thai_rjc_22000,View,account.data_account_type_view,FALSE
thai_rjc_22110,เงินกู้ยืมระยะยาวจากกรรมการและผู้ถือหุ้น,22110,thai_rjc_22100,Regular,account.data_account_type_non_current_liabilities,FALSE
thai_rjc_22120,เงินกู้ยืมระยะยาวจากบริษัทที่เกี่ยวข้องกัน,22120,thai_rjc_22100,Regular,account.data_account_type_non_current_liabilities,FALSE
thai_rjc_22190,เงินให้กู้ยืมระยะยาวอื่น,22190,thai_rjc_22100,Regular,account.data_account_type_non_current_liabilities,FALSE
thai_rjc_22200,หนี้สินไม่หมุนเวียนอื่น,22200,thai_rjc_22000,View,account.data_account_type_view,FALSE
thai_rjc_22290,หนี้สินไม่หมุนเวียนอื่น,22290,thai_rjc_22200,Regular,account.data_account_type_non_current_liabilities,FALSE
thai_rjc_30000,ส่วนของผู้ถือหุ้น,30000,thai_rjc_1,View,account.data_account_type_view,FALSE
thai_rjc_31000,ทุน,31000,thai_rjc_30000,View,account.data_account_type_view,FALSE
thai_rjc_31100,ทุน - หุ้นสามัญ,31100,thai_rjc_31000,Regular,account.data_account_type_equity,FALSE
thai_rjc_31110,ส่วนเกินทุนหุ้นสามัญ,31110,thai_rjc_31000,Regular,account.data_account_type_equity,FALSE
thai_rjc_31200,ทุน - หุ้นบุริมสิทธิ,31200,thai_rjc_31000,Regular,account.data_account_type_equity,FALSE
thai_rjc_31210,ส่วนเกินทุนหุ้นบุริมสิทธิ,31210,thai_rjc_31000,Regular,account.data_account_type_equity,FALSE
thai_rjc_32000,ส่วนได้เสียผู้ถือหุ้น,32000,thai_rjc_30000,View,account.data_account_type_view,FALSE
thai_rjc_32100,เงินปันผล,32100,thai_rjc_32000,Regular,account.data_account_type_equity,FALSE
thai_rjc_32200,Drawings,32200,thai_rjc_32000,Regular,account.data_account_type_equity,FALSE
thai_rjc_32900,กำไร(ขาดทุน)สะสม,32900,thai_rjc_32000,Regular,account.data_account_type_equity,FALSE
thai_rjc_2,Statement of Income,2,thai_rjc_0,View,account.data_account_type_view,FALSE
thai_rjc_40000,รายได้,40000,thai_rjc_2,View,account.data_account_type_view,FALSE
thai_rjc_41000,รายได้จากการขายและบริการ,41000,thai_rjc_40000,View,account.data_account_type_view,FALSE
thai_rjc_41100,รายได้จากการขายสินค้า,41100,thai_rjc_41000,Regular,account.data_account_type_income,FALSE
thai_rjc_41200,รายได้จากการขายสินค้าผลิต,41200,thai_rjc_41000,Regular,account.data_account_type_income,FALSE
thai_rjc_41300,รายได้จากการขายวัตถุดิบ,41300,thai_rjc_41000,Regular,account.data_account_type_income,FALSE
thai_rjc_41400,รายได้จากการฝากขายสินค้า,41400,thai_rjc_41000,Regular,account.data_account_type_income,FALSE
thai_rjc_41500,รายได้จากการบริการ,41500,thai_rjc_41000,Regular,account.data_account_type_income,FALSE
thai_rjc_41600,ส่วนลดการค้าจากการขาย,41600,thai_rjc_41000,Regular,account.data_account_type_income,FALSE
thai_rjc_41610,ส่วนลดจ่าย,41610,thai_rjc_41000,Regular,account.data_account_type_income,FALSE
thai_rjc_41700,รับคืนสินค้า,41700,thai_rjc_41000,Regular,account.data_account_type_income,FALSE
thai_rjc_42000,รายได้อื่น,42000,thai_rjc_40000,View,account.data_account_type_view,FALSE
