id,name,description_sale,description_purchase,default_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id/id,uom_id,uom_po_id,description,valuation,uos_id,uos_coeff,standard_price,list_price,qty_available
product.product_product_ชุบ092,ชุบแป้นโช๊ค ตัวล่าง ED,,,COT425,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ093,"ชุบคอแฮนด์ 26"" PS CP",,,COT433,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ094,"ชุบแฮนด์ 26"" PS CP",,,COT437,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ095,ชุบคานนกหวีด UCP,,,COT439,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ096,ชุบคอ MTB รุ่นโค้ง ED,,,COT441,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ097,ชุบใบจาน 40T ED,,,COT445,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ098,"ชุบตั้งขาเดี่ยว 16"" ไม่ล็อค ED",,,COT455,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ099,ชุบขาบังโคลน # 354 ED,,,COT456,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ100,"ชุบตัวถัง 27"" Fix Gear CP",,,COT457,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ101,"ชุบตะเกียบ 27"" Fix Gear CP",,,COT458,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ102,ชุบแผ่นปะกับตะกร้ารถ 3 ล้อ UCP,,,COT459,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ103,ชุบบู๊ท 3 ล้อ UCP,,,COT460,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ104,ชุบขาเดี่ยว 20 MTB ED,,,COT001,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ105,"ชุบวงล้อ 26"" SP หนา CP",,,COT244,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ106,"ชุบแฮนด์ปีกนก 16"" ED",,,COT096,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ107,"ชุบตะเกียบโช๊ค 24"" MTB CP",,,COT132,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ108,ชุบซี่ลวด R14 UCP,,,COT446,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ109,ชุบสปริงขาตั้ง สีทอง UCP,,,COT194,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ110,"ชุบขาเบาะท้าย 20"" MINI # L ED",,,COT372,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ111,"ชุบขาเบาะท้าย 20"" MINI # R ED",,,COT371,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ112,ชุบตะเกียบโช๊ค บน ED,,,COT443,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ113,ชุบตะเกียบโช๊ค ล่าง ED,,,COT444,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ114,ชุบหลักตะกร้า MINI UCP,,,COT113,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ115,"ชุบโครงเบาะท้าย 16"" MINI ED",,,COT314,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ116,"ชุบขาตั้งเดี่ยว 26"" MTB ED",,,COT141,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ117,"ชุบขาตะกร้า 26"" MINI ED",,,COT393,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ118,"ชุบขาตะกร้าหน้า 26"" PS ED",,,COT436,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
