id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
sale_order_1005686,ไล่ฮะจักรยาน,ไล่ฮะจักรยาน,ไล่ฮะจักรยาน,1003381,2012-11-23,product.list0,20,from stock,** ราคาเนต **,MST27SB,1,base.user_root,4000,คัน
sale_order_1005751,"หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.",1003446,2012-11-28,product.list0,40,from stock,** ราคาเนต **,MST27Y,1,base.user_root,3740,คัน
sale_order_1005751,"หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.",1003446,2012-11-28,product.list0,30,from stock,** ราคาเนต **,MST27SB,2,base.user_root,3740,คัน
sale_order_1005751,"หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.",1003446,2012-11-28,product.list0,20,from stock,** ราคาเนต **,MST27G,2,base.user_root,3740,คัน
sale_order_1005751,"หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.",1003446,2012-11-28,product.list0,10,from stock,** ราคาเนต **,MST27W,2,base.user_root,3740,คัน
sale_order_1005769,"เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)",1003464,2012-11-30,product.list0,30,from stock,** ราคาเนต **,MST27G,2,base.user_root,4000,คัน
sale_order_1005769,"เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)",1003464,2012-11-30,product.list0,20,from stock,** ราคาเนต **,MST27Y,1,base.user_root,4000,คัน
sale_order_1005769,"เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)",1003464,2012-11-30,product.list0,10,from stock,** ราคาเนต **,MST27SB,1,base.user_root,4000,คัน
sale_order_1005836,นายจันทร์,นายจันทร์,นายจันทร์,1003531,2012-12-06,product.list0,40,from stock,** ราคาเนต **,MST27G,1,base.user_root,3740,คัน
sale_order_1005836,นายจันทร์,นายจันทร์,นายจันทร์,1003531,2012-12-06,product.list0,30,from stock,** ราคาเนต **,MST27Y,1,base.user_root,3740,คัน
sale_order_1005836,นายจันทร์,นายจันทร์,นายจันทร์,1003531,2012-12-06,product.list0,20,from stock,** ราคาเนต **,MST27SB,1,base.user_root,3740,คัน
sale_order_1005836,นายจันทร์,นายจันทร์,นายจันทร์,1003531,2012-12-06,product.list0,10,from stock,** ราคาเนต **,MST27W,1,base.user_root,3740,คัน
sale_order_1005832,"วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา",1003527,2012-12-06,product.list0,20,from stock,** ราคาเนต **,MST27SB,1,base.user_root,4007,คัน
sale_order_1005832,"วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา",1003527,2012-12-06,product.list0,10,from stock,** ราคาเนต **,MST27Y,1,base.user_root,4007,คัน
sale_order_1006021,"วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา",1003716,2012-12-19,product.list0,30,from stock,N/A,MST27Y,1,base.user_root,4131,คัน
sale_order_1006021,"วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา",1003716,2012-12-19,product.list0,40,from stock,N/A,MST27SB,1,base.user_root,4131,คัน
sale_order_1006194,"สยามพิจิตรริมน้ำ, ร้าน","สยามพิจิตรริมน้ำ, ร้าน","สยามพิจิตรริมน้ำ, ร้าน",1003889,2013-01-04,product.list0,50,from stock,N/A,MSU27GP,1,base.user_root,5592,คัน
sale_order_1005455,"เทพเจริญทรัพย์, ร้าน","เทพเจริญทรัพย์, ร้าน","เทพเจริญทรัพย์, ร้าน",1003150,2012-11-02,product.list0,270,from stock,** ไม่เอาฟรีไต้หวัน ** ส่ง 1/12/55 nobox,MSA20R,4,base.user_root,1479,คัน
sale_order_1005455,"เทพเจริญทรัพย์, ร้าน","เทพเจริญทรัพย์, ร้าน","เทพเจริญทรัพย์, ร้าน",1003150,2012-11-02,product.list0,260,from stock,** ไม่เอาฟรีไต้หวัน ** ส่ง 1/12/55 nobox,MSA20B,1,base.user_root,1479,คัน
sale_order_1006241,อะหลั่ยกลการ,อะหลั่ยกลการ,อะหลั่ยกลการ,1003936,2013-01-07,product.list0,10,from stock,** nobox ** ไม่เอายางนอกของ TR.,MSA20K,20,base.user_root,1442,คัน
sale_order_1006241,อะหลั่ยกลการ,อะหลั่ยกลการ,อะหลั่ยกลการ,1003936,2013-01-07,product.list0,20,from stock,** nobox ** ไม่เอายางนอกของ TR.,MSA20R,20,base.user_root,1442,คัน
sale_order_1006241,อะหลั่ยกลการ,อะหลั่ยกลการ,อะหลั่ยกลการ,1003936,2013-01-07,product.list0,30,from stock,** nobox ** ไม่เอายางนอกของ TR.,MSA20B,20,base.user_root,1442,คัน
sale_order_1005507,หาญพาณิช,หาญพาณิช,หาญพาณิช,1003202,2012-11-05,product.list0,10,from stock,** ราคาเนต **,MSA20K,6,base.user_root,1435,คัน
sale_order_1005979,เอกชัยจักรยาน,เอกชัยจักรยาน,เอกชัยจักรยาน,1003674,2012-12-17,product.list0,50,from stock,N/A,MSA20R,2,base.user_root,1479,คัน
