ERROR,id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/special_info,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
YES,sale_order_1006578,งี่ฮง - วรจักร,งี่ฮง - วรจักร,งี่ฮง - วรจักร,1004273,2013-02-05,product.list0,10,from stock,"วงล้อเหล็ก 20""*10G*28H สีมุก คละสี",,RIM033M,10,base.user_root,83,คู่
YES,sale_order_1006579,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1004274,2013-02-05,product.list0,50,from stock,"ซี่ลวดเหล็ก 14G*242มม. (24"") ชุบซิงค์ พร้อมหัวซี่ลวดขึ้นมือ",,SPK026,500,base.user_root,57,กุรุส
YES,sale_order_1006562,หาญพาณิช,หาญพาณิช,หาญพาณิช,1004257,2013-02-04,product.list0,30,from stock,ไฟซิลิโคน FT-208D สีแดง,,LGH006R,10,base.user_root,70,ชุด
YES,sale_order_1006562,หาญพาณิช,หาญพาณิช,หาญพาณิช,1004257,2013-02-04,product.list0,40,from stock,ไฟซิลิโคน FT-208D สีน้ำเงิน,,LGH006B,10,base.user_root,70,ชุด
YES,sale_order_1006562,หาญพาณิช,หาญพาณิช,หาญพาณิช,1004257,2013-02-04,product.list0,50,from stock,ไฟซิลิโคน FT-208D สีดำ,,LGH006K,10,base.user_root,70,ชุด
YES,sale_order_1006562,หาญพาณิช,หาญพาณิช,หาญพาณิช,1004257,2013-02-04,product.list0,60,from stock,ไฟซิลิโคน FT-208D สีเหลือง,,LGH006Y,10,base.user_root,70,ชุด
YES,sale_order_1006562,หาญพาณิช,หาญพาณิช,หาญพาณิช,1004257,2013-02-04,product.list0,70,from stock,ไฟซิลิโคน FT-208D สีขาว,,LGH006W,10,base.user_root,70,ชุด
YES,sale_order_1006565,"สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน",1004260,2013-02-04,product.list0,30,from stock,ชุดเบรคก้ามปู หน้า/หลัง ED พร้อมมือเบรค 24 และสาย,,KIT_BRAKE_MTB_24,50,base.user_root,47,ชุด
YES,sale_order_1006565,"สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน",1004260,2013-02-04,product.list0,80,from stock,"วงล้อเหล็ก 24"" ชบโครเมี่ยม #TJSR",,RIM036,10,base.user_root,88,คู่
YES,sale_order_1006565,"สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน",1004260,2013-02-04,product.list0,100,from stock,"วงล้อเหล็ก 20""*14G*28H ชบโครเมี่ยม #TJSR",,RIM030,10,base.user_root,72,คู่
YES,sale_order_1006550,กิจเสรี,กิจเสรี,กิจเสรี,1004245,2013-02-02,product.list0,10,from stock,"ซี่ลวดเหล็ก 14G*123มม. (14"") ชุบซิงค์ พร้อมหัวซี่ลวดขึ้นมือ #ZL",,SPK016,50,base.user_root,50,กุรุส
